name,page_id,party,district
Γεωργίου Νατάλη,,ΔΕΚ,Πάφος
Κυριακού Κυριακή,,ΔΕΚ,Πάφος
Χαραλαμπίδης Μάριος,,ΔΕΚ,Πάφος
Ιωάννου Νατάσα,,ΔΗΚΟ,Πάφος
Κωνσταντινίδου Αντρή,,ΔΗΚΟ,Πάφος
Σαββίδης Χρύσανθος,556192687867978,ΔΗΚΟ,Πάφος
Σίμου Κυριάκος,1009195338945652,ΔΗΚΟ,Πάφος
Σκορδής Πανίκος,,ΔΗΚΟ,Πάφος
Γεωργίου Γεώργιος,,ΔΗΣΥ,Πάφος
Καρσεράς Κωνσταντίνος,,ΔΗΣΥ,Πάφος
Κουππάρης Σωτήρης,951257378073843,ΔΗΣΥ,Πάφος
Κωνσταντίνου Νικολέττα,,ΔΗΣΥ,Πάφος
Παζάρος Χαράλαμπος,,ΔΗΣΥ,Πάφος
Δημητρίου Βάσος,,ΕΔΕΚ,Πάφος
Θεοδώρου Βάσος,,ΕΔΕΚ,Πάφος
Καραγιάννης Παναγιώτης,,ΕΔΕΚ,Πάφος
Στεφάνου Μελίνα,,ΕΔΕΚ,Πάφος
Στυλιανάκης Πέτρος,968214563042037,ΕΔΕΚ,Πάφος
Γρηγορίου Χαράλαμπος,,ΕΛΑΜ,Πάφος
Θεοχάρους Γιώργος,,ΕΛΑΜ,Πάφος
Μιχαήλ Μιχάλης,,ΕΛΑΜ,Πάφος
Παπαδημήτρης Δημήτρης,866297829898936,ΕΛΑΜ,Πάφος
Αβραάμ Ευάγγελος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Πάφος
Θεοδώρου Στυλιανός,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Πάφος
Μοσκόβου Αιμίλιος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Πάφος
Ρούσου Ρόσκος Στέφανος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Πάφος
Στυλιανού Στέλιος,966765343181208,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Πάφος
Καουσλιάδης Αλέξης,,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,Πάφος
Ανδρέου Ταμενού Ειρήνη,,ΟΙΚΟΛΟΓΟΙ,Πάφος
Ευλαβής Ανδρέας,,ΟΙΚΟΛΟΓΟΙ,Πάφος
Μιχαηλίδης Ανδρέας,,ΟΙΚΟΛΟΓΟΙ,Πάφος
Σταυρινίδης Φάνης,,ΟΙΚΟΛΟΓΟΙ,Πάφος
Χουσσέιν Μπισσάρα,,ΟΙΚΟΛΟΓΟΙ,Πάφος
Θεοδώρου Θεογνωσία,,ΠΡΑΣΙΝΟΙ,Πάφος
Γιαννάκου Ιωάννα,,ΣΗΚΟΥ ΠΑΝΩ,Πάφος
Ζαννούπας Σάββας,,ΣΗΚΟΥ ΠΑΝΩ,Πάφος
Ξινάρης Στέφανος,,ΣΗΚΟΥ ΠΑΝΩ,Πάφος
Παρασκευαϊδης Ιάκωβος,,ΣΗΚΟΥ ΠΑΝΩ,Πάφος
Χρυσάνθου Χαράλαμπος,,ΑΓΡΟΝΟΜΟΣ,Κερύνεια
Κωνσταντίνου Κωστάκης,,ΑΚΕΛ,Κερύνεια
Λούκα Αβραάμ,149837181555826,ΑΚΕΛ,Κερύνεια
Χάσικου Αναστασία,,ΑΚΕΛ,Κερύνεια
Νεοκλέους Γρηγόριος,,ΑΛΜΑ,Κερύνεια
Παπαραδαμάνθους Κατερίνα,,ΑΛΜΑ,Κερύνεια
Χριστοδούλου Νίκη,,ΑΛΜΑ,Κερύνεια
Κυπριανού Κωνσταντίνος,,ΑΜΔΗ,Κερύνεια
Κωμοδρόμος Κυριάκος,,ΑΜΔΗ,Κερύνεια
Μαυρομμάτη Νίκος,,ΑΜΔΗ,Κερύνεια
Ιωάννου Νατάσα,,ΒΟΛΤ,Κερύνεια
Μακφέρσον Ποτουδή Βασιλική,,ΒΟΛΤ,Κερύνεια
Μαυρομμάτη Σπυρούλα,,ΒΟΛΤ,Κερύνεια
Πέτρου Σάββας,,ΔΑ,Κερύνεια
Σκορδής Μιχάλης,,ΔΗΠΑ,Κερύνεια
Σολωμού Πωλίνα,,ΔΗΠΑ,Κερύνεια
Χατζηχριστοδούλου Χρίστος,,ΔΗΠΑ,Κερύνεια
Αντωνίου Μάριος,,ΔΕΚ,Κερύνεια
Χριστοφή Μιλέρτ Ελένη,,ΔΕΚ,Κερύνεια
Άσπρης Άδαμος,,ΔΗΚΟ,Κερύνεια
Μηνά Δημήτριος,,ΔΗΚΟ,Κερύνεια
Νικηταράς Ανδρέας,,ΔΗΚΟ,Κερύνεια
Γεωργιάδης Δήμος,,ΔΗΣΥ,Κερύνεια
Κουμέττου Βασίλης,813950578476013,ΔΗΣΥ,Κερύνεια
Σούπερμαν Ρίτα,,ΔΗΣΥ,Κερύνεια
Κύρου Μάριος,,ΕΔΕΚ,Κερύνεια
Λεωνίδου Μάριος,,ΕΔΕΚ,Κερύνεια
Πάρπας Πανίκκος,,ΕΔΕΚ,Κερύνεια
Βασιλείου Πολυξένη,,ΕΛΑΜ,Κερύνεια
Δρουσιώτης Κυριάκος,,ΕΛΑΜ,Κερύνεια
Τοούλας Γεώργιος,,ΕΛΑΜ,Κερύνεια
Αυγουστή Λούκας,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Κερύνεια
Γιάσεμη Αντωνάκης,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Κερύνεια
Σταύρου Σταύρος,,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Κερύνεια
Φοίβου Ιάκωβος,,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,Κερύνεια
Ευαγγέλου Γρηγόριος,,ΟΙΚΟΛΟΓΟΙ,Κερύνεια
Φουρούκλα Στάλω,,ΟΙΚΟΛΟΓΟΙ,Κερύνεια
Χριστοδουλίδης Ντίνος,,ΟΙΚΟΛΟΓΟΙ,Κερύνεια
Τταμπατάς Χρυσοβαλάντης,,ΠΡΑΣΙΝΟΙ,Κερύνεια
Ιωσήφ Πωλίνα,,ΣΗΚΟΥ ΠΑΝΩ,Κερύνεια
Μιχαηλίδης Γιώργος,,ΣΗΚΟΥ ΠΑΝΩ,Κερύνεια
Παγκύπρια Εργατική Ομοσπονδία ΠΕΟ - Pancyprian Federation of Labour PEO,548288891914230,,
Μαυρίδης Κώστας,197874087030899,ΔΗΚΟ,
